Код заявки	Дата выдачи	Возраст	Заемщик.Пол	СемейноеПоложение	Иждивенцы	Образование	Вид деятельности	Стаж	Стаж общий	"Белый" доход	Месячный доход, руб.	Сумма кредита, тыс. руб.	Месячный платеж, руб.	Просрочек свыше 60 дн.
394	13.09.2005	49	Ж	Холост (незамужем)	0	Высшее	Наемный работник	Свыше 5 лет	Свыше 5 лет	да	7265	102	2211	0
395	13.09.2005	34	М	Холост (незамужем)	0	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	17750	136	6479	1
396	13.09.2005	32	М	Женат (замужем)	1-2	Среднее	Наемный работник	менее 1 года	Свыше 5 лет	да	11514	148	3844	0
397	13.09.2005	35	М	Женат (замужем)	0	Высшее	Наемный работник	От 1 до 3 лет	От 1 до 3 лет	нет	22316	244	8305	1
398	14.09.2005	46	М	Женат (замужем)	1-2	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	да	13681	154	5095	0
399	14.09.2005	28	М	Холост (незамужем)	0	Высшее	Наемный работник	менее 1 года	От 1 до 3 лет	нет	12456	179	3987	0
400	14.09.2005	21	М	Женат (замужем)	1-2	Высшее	Наемный работник	От 3 до 5 лет	От 3 до 5 лет	нет	36914	299	14196	1
401	14.09.2005	27	Ж	Женат (замужем)	1-2	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	да	25734	100	4901	0
402	14.09.2005	30	Ж	Другое	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	14478	98	3225	0
403	17.09.2005	23	М	Женат (замужем)	1-2	Среднее	Наемный работник	От 1 до 3 лет	От 1 до 3 лет	нет	9886	169	3715	1
404	17.09.2005	35	Ж	Женат (замужем)	1-2	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	нет	19078	116	3936	0
405	17.09.2005	40	Ж	Женат (замужем)	0	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	17630	152	5162	1
406	18.09.2005	23	М	Холост (незамужем)	0	Высшее	Наемный работник	От 1 до 3 лет	От 1 до 3 лет	нет	9543	165	3672	1
407	18.09.2005	21	Ж	Холост (незамужем)	1-2	Среднее	Наемный работник	От 1 до 3 лет	От 1 до 3 лет	да	15908	224	4868	1
408	18.09.2005	41	М	Холост (незамужем)	0	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	17305	184	6082	1
409	19.09.2005	50	М	Другое	0	Среднее	Собственное дело	Свыше 5 лет	Свыше 5 лет	нет	47562	294	9714	0
410	19.09.2005	24	Ж	Холост (незамужем)	0	Высшее	Наемный работник	менее 1 года	От 1 до 3 лет	да	31525	188	4037	0
411	20.09.2005	41	М	Холост (незамужем)	0	Среднее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	16465	273	5942	1
412	20.09.2005	36	Ж	Женат (замужем)	1-2	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	нет	11085	162	3615	0
413	20.09.2005	32	М	Женат (замужем)	1-2	Среднее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	9638	157	5201	0
414	21.09.2005	48	М	Холост (незамужем)	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	10486	123	4176	0
415	21.09.2005	30	М	Женат (замужем)	1-2	Высшее	Наемный работник	Свыше 5 лет	Свыше 5 лет	да	4849	43	1415	0
416	21.09.2005	25	М	Женат (замужем)	0	Среднее	Наемный работник	Свыше 5 лет	Свыше 5 лет	нет	14298	73	3559	0
417	24.09.2005	43	Ж	Другое	1-2	Среднее	Наемный работник	Свыше 5 лет	Свыше 5 лет	да	8027	105	2303	1
418	24.09.2005	32	М	Женат (замужем)	0	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	9235	163	3625	0
419	24.09.2005	48	Ж	Холост (незамужем)	0	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	14426	124	2766	1
420	24.09.2005	47	М	Женат (замужем)	1-2	Высшее	Собственное дело	От 1 до 3 лет	Свыше 5 лет	да	18341	269	8878	1
421	24.09.2005	33	М	Женат (замужем)	0	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	10897	94	3213	0
422	24.09.2005	29	Ж	Холост (незамужем)	1-2	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	19181	146	4814	0
423	24.09.2005	50	М	Холост (незамужем)	0	Среднее	Наемный работник	От 3 до 5 лет	От 3 до 5 лет	да	17510	122	4159	1
424	25.09.2005	22	Ж	Женат (замужем)	1-2	Среднее	Наемный работник	менее 1 года	От 1 до 3 лет	нет	17819	188	6231	0
425	25.09.2005	27	М	Другое	0	Высшее	Наемный работник	От 1 до 3 лет	От 3 до 5 лет	нет	11137	124	4106	1
426	25.09.2005	25	М	Холост (незамужем)	0	Среднее	Наемный работник	От 1 до 3 лет	От 1 до 3 лет	нет	22273	162	5506	0
427	25.09.2005	33	М	Холост (незамужем)	0	Среднее	Наемный работник	От 3 до 5 лет	От 3 до 5 лет	да	12730	206	4579	0
428	25.09.2005	26	Ж	Холост (незамужем)	0	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	8909	92	3030	0
429	25.09.2005	23	М	Холост (незамужем)	0	Среднее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	5414	89	1968	1
430	25.09.2005	38	М	Женат (замужем)	0	Высшее	Наемный работник	От 3 до 5 лет	От 3 до 5 лет	нет	31817	285	9297	1
431	26.09.2005	38	М	Женат (замужем)	1-2	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	13510	105	3459	1
432	26.09.2005	54	М	Женат (замужем)	0	Высшее	Наемный работник	Свыше 5 лет	Свыше 5 лет	нет	17193	117	3876	0
433	26.09.2005	27	М	Женат (замужем)	1-2	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	15463	154	3357	1
434	26.09.2005	43	М	Женат (замужем)	1-2	Среднее	Собственное дело	Свыше 5 лет	Свыше 5 лет	да	19104	187	6079	0
435	27.09.2005	47	Ж	Женат (замужем)	1-2	Высшее	Наемный работник	Свыше 5 лет	Свыше 5 лет	да	11377	157	5198	0
436	27.09.2005	36	Ж	Холост (незамужем)	1-2	Среднее	Наемный работник	менее 1 года	Свыше 5 лет	да	21759	222	5117	1
437	27.09.2005	30	М	Женат (замужем)	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	15900	161	5313	1
438	27.09.2005	35	М	Женат (замужем)	1-2	Среднее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	да	12019	131	4282	1
439	27.09.2005	32	Ж	Другое	3 и более	Среднее	Наемный работник	менее 1 года	Свыше 5 лет	нет	22856	122	2666	0
440	27.09.2005	33	Ж	Другое	1-2	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	да	7984	61	1988	0
441	28.09.2005	31	Ж	Женат (замужем)	1-2	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	12764	141	4668	0
442	28.09.2005	31	М	Женат (замужем)	1-2	Высшее	Наемный работник	менее 1 года	От 1 до 3 лет	нет	26805	223	7521	1
443	28.09.2005	40	М	Женат (замужем)	0	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	13381	98	3225	0
444	28.09.2005	44	М	Женат (замужем)	1-2	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	12764	184	4001	1
445	28.09.2005	46	М	Другое	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	19738	189	6249	1
446	28.09.2005	26	М	Другое	0	Среднее	Наемный работник	менее 1 года	Свыше 5 лет	да	10880	131	4328	0
447	28.09.2005	34	М	Женат (замужем)	1-2	Среднее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	18350	199	6591	0
448	30.09.2005	28	М	Холост (незамужем)	0	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	12482	93	3146	1
449	30.09.2005	52	М	Другое	0	Высшее	Собственное дело	Свыше 5 лет	Свыше 5 лет	да	9877	140	3084	1
450	01.10.2005	30	М	Женат (замужем)	0	Среднее	Наемный работник	менее 1 года	Свыше 5 лет	нет	14255	66	2192	1
451	01.10.2005	23	М	Холост (незамужем)	0	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	11779	209	4654	0
452	01.10.2005	26	М	Холост (незамужем)	0	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	15334	126	4181	0
453	01.10.2005	34	Ж	Женат (замужем)	0	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	да	23850	145	4785	0
454	01.10.2005	51	М	Женат (замужем)	0	Среднее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	да	9586	94	3096	0
455	02.10.2005	32	М	Другое	0	Среднее	Наемный работник	Свыше 5 лет	Свыше 5 лет	нет	11274	119	2592	1
456	02.10.2005	34	Ж	Холост (незамужем)	1-2	Среднее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	да	11102	202	4403	0
457	02.10.2005	47	Ж	Другое	1-2	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	да	21477	239	5263	0
458	03.10.2005	24	М	Холост (незамужем)	0	Высшее	Наемный работник	От 1 до 3 лет	От 3 до 5 лет	нет	12781	110	3706	0
459	03.10.2005	33	М	Холост (незамужем)	1-2	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	нет	17099	150	4891	0
460	03.10.2005	35	М	Женат (замужем)	1-2	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	8001	96	3164	1
461	03.10.2005	25	Ж	Женат (замужем)	0	Среднее	Собственное дело	менее 1 года	От 3 до 5 лет	нет	13690	79	2621	0
462	03.10.2005	46	Ж	Женат (замужем)	1-2	Среднее	Наемный работник	менее 1 года	От 3 до 5 лет	нет	21605	209	6810	0
463	03.10.2005	41	М	Женат (замужем)	1-2	Среднее	Собственное дело	менее 1 года	Свыше 5 лет	нет	19206	181	5999	1
464	03.10.2005	38	М	Женат (замужем)	1-2	Высшее	Собственное дело	Свыше 5 лет	Свыше 5 лет	да	26231	184	6092	0
465	03.10.2005	37	М	Женат (замужем)	1-2	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	да	11548	96	3277	0
466	03.10.2005	29	М	Холост (незамужем)	0	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	19206	76	2519	0
467	03.10.2005	32	Ж	Холост (незамужем)	0	Среднее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	19206	205	4563	0
468	04.10.2005	51	М	Женат (замужем)	0	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	14066	250	5567	0
469	04.10.2005	44	М	Женат (замужем)	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	14469	257	5723	0
470	04.10.2005	41	Ж	Другое	1-2	Среднее	Наемный работник	Свыше 5 лет	Свыше 5 лет	да	6673	79	2669	0
471	04.10.2005	29	М	Холост (незамужем)	0	Среднее	Наемный работник	менее 1 года	Свыше 5 лет	нет	15977	158	3529	0
472	04.10.2005	45	М	Другое	0	Высшее	Собственное дело	От 1 до 3 лет	Свыше 5 лет	нет	20320	182	6030	0
473	07.10.2005	39	М	Женат (замужем)	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	18975	175	5784	0
474	07.10.2005	43	М	Женат (замужем)	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	43219	228	7534	1
475	07.10.2005	29	Ж	Женат (замужем)	1-2	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	24689	295	6563	1
476	07.10.2005	45	М	Женат (замужем)	1-2	Высшее	Наемный работник	Свыше 5 лет	Свыше 5 лет	нет	14366	152	4946	0
477	07.10.2005	46	Ж	Другое	0	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	8010	97	3192	0
478	08.10.2005	26	М	Женат (замужем)	1-2	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	6416	77	2531	0
479	08.10.2005	34	М	Холост (незамужем)	1-2	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	12567	147	4802	1
480	08.10.2005	40	М	Другое	0	Среднее	Собственное дело	От 3 до 5 лет	Свыше 5 лет	нет	24783	183	6215	0
481	08.10.2005	52	Ж	Женат (замужем)	1-2	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	да	11753	102	3452	0
482	08.10.2005	21	М	Женат (замужем)	0	Высшее	Наемный работник	менее 1 года	От 1 до 3 лет	нет	14443	107	3649	0
483	08.10.2005	43	М	Женат (замужем)	1-2	Среднее	Наемный работник	Свыше 5 лет	Свыше 5 лет	нет	10271	116	3188	0
484	08.10.2005	26	Ж	Другое	1-2	Высшее	Наемный работник	От 1 до 3 лет	От 3 до 5 лет	нет	19258	268	5893	0
485	09.10.2005	33	М	Другое	1-2	Среднее	Наемный работник	менее 1 года	Свыше 5 лет	нет	10571	187	4174	1
486	09.10.2005	30	Ж	Холост (незамужем)	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	34284	296	6601	1
487	09.10.2005	45	Ж	Другое	1-2	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	9612	96	3186	0
488	09.10.2005	28	М	Женат (замужем)	1-2	Высшее	Наемный работник	От 1 до 3 лет	От 1 до 3 лет	да	11899	143	4715	0
489	09.10.2005	41	М	Холост (незамужем)	0	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	нет	8652	153	3413	0
490	09.10.2005	31	М	Женат (замужем)	1-2	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	нет	18581	116	3823	0
491	10.10.2005	51	М	Женат (замужем)	1-2	Среднее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	14418	126	4176	0
492	10.10.2005	41	М	Женат (замужем)	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	9089	105	3471	1
493	10.10.2005	52	М	Женат (замужем)	1-2	Высшее	Собственное дело	Свыше 5 лет	Свыше 5 лет	нет	13133	130	4305	0
494	10.10.2005	25	Ж	Другое	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	28990	177	5842	0
495	10.10.2005	34	М	Женат (замужем)	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	24030	257	5723	0
496	11.10.2005	38	М	Женат (замужем)	1-2	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	24732	137	4531	0
497	11.10.2005	27	М	Женат (замужем)	0	Высшее	Наемный работник	Свыше 5 лет	Свыше 5 лет	да	7008	96	2589	0
498	11.10.2005	26	Ж	Другое	0	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	20551	139	6655	0
499	11.10.2005	44	М	Женат (замужем)	1-2	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	9415	129	3353	0
500	11.10.2005	31	М	Женат (замужем)	1-2	Среднее	Собственное дело	Свыше 5 лет	Свыше 5 лет	нет	8858	86	2792	0
501	11.10.2005	35	Ж	Холост (незамужем)	0	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	3075	37	1222	0
502	11.10.2005	33	М	Женат (замужем)	1-2	Высшее	Собственное дело	От 1 до 3 лет	Свыше 5 лет	нет	24089	153	5069	1
503	14.10.2005	29	Ж	Женат (замужем)	1-2	Среднее	Наемный работник	менее 1 года	Свыше 5 лет	да	41900	197	6522	0
504	14.10.2005	32	Ж	Женат (замужем)	1-2	Среднее	Наемный работник	менее 1 года	Свыше 5 лет	да	13792	85	4146	0
505	14.10.2005	28	Ж	Женат (замужем)	1-2	Среднее	Наемный работник	менее 1 года	Свыше 5 лет	нет	7976	85	2802	0
506	14.10.2005	33	Ж	Женат (замужем)	1-2	Среднее	Наемный работник	менее 1 года	Свыше 5 лет	нет	9954	138	4697	0
507	15.10.2005	28	М	Холост (незамужем)	0	Среднее	Собственное дело	От 1 до 3 лет	От 1 до 3 лет	нет	24501	150	7211	0
508	15.10.2005	36	М	Женат (замужем)	1-2	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	да	12978	90	1957	1
509	15.10.2005	28	М	Женат (замужем)	1-2	Высшее	Наемный работник	От 3 до 5 лет	От 3 до 5 лет	нет	38327	216	4754	0
510	15.10.2005	35	М	Холост (незамужем)	0	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	17759	255	5621	0
511	15.10.2005	47	Ж	Женат (замужем)	1-2	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	9586	92	2011	0
512	15.10.2005	21	Ж	Холост (незамужем)	0	Высшее	Наемный работник	От 1 до 3 лет	Менее 1 года	нет	14375	176	5723	0
513	15.10.2005	32	М	Холост (незамужем)	0	Среднее	Собственное дело	От 1 до 3 лет	Свыше 5 лет	нет	25554	142	4708	0
514	15.10.2005	24	Ж	Холост (незамужем)	0	Высшее	Наемный работник	От 1 до 3 лет	От 3 до 5 лет	нет	9586	171	3816	1
515	15.10.2005	37	М	Женат (замужем)	1-2	Среднее	Собственное дело	менее 1 года	Свыше 5 лет	нет	11180	145	3161	0
516	16.10.2005	43	М	Другое	1-2	Высшее	Наемный работник	Свыше 5 лет	Свыше 5 лет	нет	25537	176	8444	1
517	16.10.2005	29	М	Женат (замужем)	1-2	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	нет	13098	144	3212	1
518	16.10.2005	35	М	Женат (замужем)	1-2	Среднее	Наемный работник	менее 1 года	Свыше 5 лет	нет	24141	144	4713	0
519	16.10.2005	30	М	Другое	0	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	8815	127	2756	1
520	16.10.2005	27	М	Женат (замужем)	1-2	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	нет	10537	185	4076	0
521	16.10.2005	37	М	Женат (замужем)	1-2	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	16756	111	3682	1
522	16.10.2005	33	М	Другое	0	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	28733	189	6244	0
523	16.10.2005	34	Ж	Женат (замужем)	1-2	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	нет	14366	146	4811	0
524	16.10.2005	29	Ж	Другое	1-2	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	8618	141	3075	0
525	17.10.2005	31	Ж	Другое	1-2	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	9124	167	3628	1
526	17.10.2005	31	М	Холост (незамужем)	0	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	14392	150	4968	0
527	17.10.2005	41	М	Женат (замужем)	1-2	Высшее	Наемный работник	менее 1 года	От 3 до 5 лет	нет	25589	193	6372	0
528	17.10.2005	31	М	Женат (замужем)	1-2	Среднее	Собственное дело	От 1 до 3 лет	Свыше 5 лет	нет	26874	227	5055	0
529	18.10.2005	50	Ж	Женат (замужем)	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	14426	206	4545	0
530	18.10.2005	48	Ж	Женат (замужем)	0	Среднее	Собственное дело	Свыше 5 лет	Свыше 5 лет	да	12593	223	4860	0
531	18.10.2005	38	Ж	Другое	1-2	Высшее	Наемный работник	Свыше 5 лет	Свыше 5 лет	нет	13141	240	5222	0
532	18.10.2005	34	М	Холост (незамужем)	0	Высшее	Наемный работник	Свыше 5 лет	Свыше 5 лет	да	10717	82	1775	0
533	18.10.2005	23	Ж	Женат (замужем)	1-2	Высшее	Наемный работник	менее 1 года	От 1 до 3 лет	нет	16028	189	4167	1
534	18.10.2005	33	М	Женат (замужем)	1-2	Среднее	Собственное дело	Свыше 5 лет	Свыше 5 лет	нет	48085	248	8155	1
535	21.10.2005	31	М	Холост (незамужем)	0	Среднее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	16020	190	4234	0
536	21.10.2005	26	Ж	Холост (незамужем)	0	Высшее	Наемный работник	От 1 до 3 лет	От 1 до 3 лет	нет	10914	183	4022	0
537	21.10.2005	30	М	Женат (замужем)	0	Среднее	Наемный работник	Свыше 5 лет	Свыше 5 лет	да	8986	111	2954	0
538	22.10.2005	33	Ж	Женат (замужем)	1-2	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	14435	87	2848	0
539	22.10.2005	32	Ж	Женат (замужем)	1-2	Среднее	Наемный работник	менее 1 года	Свыше 5 лет	нет	8661	92	3033	0
540	22.10.2005	29	Ж	Холост (незамужем)	0	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	да	21202	214	4769	0
541	22.10.2005	36	М	Другое	0	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	17964	154	5098	0
542	22.10.2005	43	М	Женат (замужем)	1-2	Среднее	Наемный работник	менее 1 года	Свыше 5 лет	нет	21982	264	8734	1
543	22.10.2005	51	М	Женат (замужем)	1-2	Высшее	Наемный работник	Свыше 5 лет	Свыше 5 лет	да	7830	95	3111	0
544	22.10.2005	42	М	Женат (замужем)	0	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	да	9398	106	3498	0
545	22.10.2005	26	Ж	Холост (незамужем)	0	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	нет	12559	186	4096	0
546	22.10.2005	27	Ж	Женат (замужем)	0	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	да	16037	128	6104	0
547	23.10.2005	35	Ж	Женат (замужем)	1-2	Высшее	Наемный работник	Свыше 5 лет	Свыше 5 лет	нет	11231	124	2690	0
548	23.10.2005	21	Ж	Холост (незамужем)	0	Высшее	Наемный работник	От 1 до 3 лет	От 1 до 3 лет	нет	14443	183	4037	0
549	23.10.2005	23	Ж	Холост (незамужем)	0	Среднее	Наемный работник	От 1 до 3 лет	От 1 до 3 лет	да	12559	154	3344	0
550	23.10.2005	49	Ж	Другое	0	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	12165	222	4835	1
551	23.10.2005	42	М	Холост (незамужем)	0	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	30489	257	8496	0
552	23.10.2005	32	Ж	Холост (незамужем)	0	Высшее	Наемный работник	Свыше 5 лет	Свыше 5 лет	да	25126	219	7240	0
553	23.10.2005	35	М	Женат (замужем)	1-2	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	22462	268	8870	0
554	23.10.2005	23	Ж	Холост (незамужем)	0	Высшее	Наемный работник	От 1 до 3 лет	От 3 до 5 лет	да	15017	106	3464	0
555	24.10.2005	34	М	Другое	0	Среднее	Наемный работник	менее 1 года	Свыше 5 лет	нет	12533	203	4529	1
556	24.10.2005	30	М	Женат (замужем)	1-2	Среднее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	да	22282	228	5067	1
557	24.10.2005	26	Ж	Холост (незамужем)	0	Среднее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	да	11205	134	4431	0
558	24.10.2005	39	М	Женат (замужем)	0	Среднее	Наемный работник	Свыше 5 лет	Свыше 5 лет	нет	18247	145	4809	0
559	24.10.2005	48	М	Женат (замужем)	1-2	Высшее	Собственное дело	От 1 до 3 лет	Свыше 5 лет	да	21322	179	8492	0
560	24.10.2005	31	М	Женат (замужем)	1-2	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	20886	240	6363	1
561	24.10.2005	23	Ж	Женат (замужем)	0	Среднее	Наемный работник	От 1 до 3 лет	От 1 до 3 лет	нет	16328	175	5777	0
562	24.10.2005	37	Ж	Холост (незамужем)	1-2	Среднее	Наемный работник	Свыше 5 лет	Свыше 5 лет	да	17356	133	4526	0
563	24.10.2005	29	М	Женат (замужем)	3 и более	Среднее	Собственное дело	От 3 до 5 лет	От 3 до 5 лет	да	36828	257	12325	0
564	25.10.2005	45	М	Женат (замужем)	1-2	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	10237	124	4037	0
565	25.10.2005	35	М	Женат (замужем)	1-2	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	да	9183	105	2428	0
566	25.10.2005	34	Ж	Женат (замужем)	1-2	Высшее	Наемный работник	Свыше 5 лет	Свыше 5 лет	да	13921	155	3411	0
567	25.10.2005	26	М	Холост (незамужем)	0	Высшее	Наемный работник	От 1 до 3 лет	От 1 до 3 лет	нет	6905	96	3277	0
568	25.10.2005	50	М	Женат (замужем)	0	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	нет	5740	148	3380	0
569	25.10.2005	45	Ж	Другое	1-2	Высшее	Наемный работник	Свыше 5 лет	Свыше 5 лет	нет	15351	114	2537	1
570	25.10.2005	37	М	Женат (замужем)	1-2	Среднее	Собственное дело	От 1 до 3 лет	Свыше 5 лет	нет	6930	126	2753	0
571	25.10.2005	37	Ж	Холост (незамужем)	0	Высшее	Наемный работник	От 1 до 3 лет	От 1 до 3 лет	нет	9595	171	3773	0
572	28.10.2005	23	Ж	Холост (незамужем)	0	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	нет	6177	69	2266	0
573	28.10.2005	28	М	Холост (незамужем)	0	Высшее	Собственное дело	От 1 до 3 лет	Свыше 5 лет	да	9929	90	4326	0
574	28.10.2005	35	М	Женат (замужем)	1-2	Среднее	Наемный работник	Свыше 5 лет	Свыше 5 лет	нет	15386	230	6090	0
575	28.10.2005	48	М	Другое	0	Среднее	Наемный работник	От 1 до 3 лет	От 1 до 3 лет	нет	17365	143	3141	1
576	28.10.2005	33	М	Холост (незамужем)	1-2	Высшее	Наемный работник	От 1 до 3 лет	От 1 до 3 лет	нет	23961	240	7929	0
577	29.10.2005	44	М	Другое	0	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	9132	208	4532	1
578	29.10.2005	27	Ж	Холост (незамужем)	0	Среднее	Собственное дело	От 3 до 5 лет	От 3 до 5 лет	да	12833	115	5502	0
579	29.10.2005	27	М	Холост (незамужем)	0	Среднее	Наемный работник	От 1 до 3 лет	От 1 до 3 лет	да	8164	187	4066	1
580	29.10.2005	43	М	Женат (замужем)	0	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	да	10563	124	4044	1
581	29.10.2005	39	М	Другое	1-2	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	да	49927	145	4789	0
582	29.10.2005	38	М	Женат (замужем)	1-2	Высшее	Наемный работник	менее 1 года	Свыше 5 лет	да	13578	176	5970	0
583	30.10.2005	41	М	Женат (замужем)	1-2	Среднее	Наемный работник	менее 1 года	Свыше 5 лет	да	6648	147	3194	1
584	30.10.2005	22	М	Холост (незамужем)	0	Высшее	Наемный работник	От 1 до 3 лет	От 1 до 3 лет	да	13604	121	2675	0
585	30.10.2005	38	Ж	Другое	1-2	Высшее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	17939	215	7095	0
586	30.10.2005	40	М	Женат (замужем)	1-2	Высшее	Наемный работник	менее 1 года	От 1 до 3 лет	нет	9612	171	3816	0
587	30.10.2005	27	М	Женат (замужем)	1-2	Высшее	Наемный работник	От 1 до 3 лет	От 3 до 5 лет	нет	17613	241	7900	0
588	30.10.2005	51	М	Женат (замужем)	1-2	Высшее	Собственное дело	Свыше 5 лет	Свыше 5 лет	нет	51254	172	5675	0
589	30.10.2005	47	М	Женат (замужем)	0	Высшее	Наемный работник	От 3 до 5 лет	Свыше 5 лет	да	17750	256	8406	0
590	31.10.2005	38	Ж	Женат (замужем)	1-2	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	9612	106	3448	0
591	31.10.2005	39	М	Холост (незамужем)	1-2	Среднее	Наемный работник	От 1 до 3 лет	Свыше 5 лет	нет	18264	161	5310	0
